text,label
"@USER My thoughts and prayers are with the families.  Random mass shootings, which plague our nation, are not normal and we as a country can't allow them to be normalized,"" Craley said"",   The truth is these mass shootings are becoming too ""normal"".  Gun control would certainly help.""",TIN
@USER Another #dem lie,TIN
"@USER @USER @USER This is fun, I asked him for proof and he blocked me. I was about to joke about how he'd go from The Antifa are the real Nazis!"" to similar alt-shite talking points, boy that sure was providing proof quickly.""",TIN
@USER Mueller can go fornicate himself. He is as crooked as the day is long.,TIN
@USER Anyone else think she is a lying opportunist?  Yeah...#metoo,TIN
"@USER Open a Case"" 4-this:  John Kerry: ""Obama &amp; I *KNOWINGLY  *FUNDED *TERROR""  55 BILLION $$$ With a ""B"" !!  God bless Trump #MAGA #KAG #DeepState .. (FULL LINK: URL .. URL",TIN
@USER @USER LMAO....YOU SUCK NFL,TIN
@USER amenadiel's were my favorite. the massive triangle shape... the actor being hot.... the big connection spots.... kisses my fingertips,TIN
@USER Do you think she is afraid of pigs that are not the same colour as her? 😊,TIN
@USER @USER @USER @USER He's having a go at people who love David Gilmour but who think Roger Waters is a bit of a dick... Obviously.,TIN
@USER Let the leftist democrats riot in the streets with their antifa counterparts.,TIN
@USER can't fucking believe it.,UNT
@USER @USER @USER Honestly you people are seriously delusional! It’s a good thing the majority of fans in Ottawa are Educated! Because ppl like you are scary!,TIN
@USER First Man movie is an accurate metaphor for the NWO Globalist Left--they give you enough to make you believe they're truthful unless you have educated yourself!,TIN
@USER So Fucking What. It doesn’t matter if they found the Dead Sea scrolls or the Colonel’s secret recipe. This man should not be dead but he is so due to the ignorant negligence of someone else.,UNT
@USER Funny that even the woman that brought Roe vs. Wade to the #SCOTUS regretted it later. It was one thing to have a medical emergency that required an abortion (though rare) &amp; another to have liberals celebrating killing their unborn children &amp; pretending it's health care.,TIN
@USER he probably gets paid to say that...with $$ and assurances that he won't be called an islamophobe---pfffft it's a fake word--justin is an IDIOT and he is destroying canada one refugee at a time,TIN
@USER Doing soooo much better than the big Zero and his losers,TIN
"@USER @USER @USER @USER This is great! Mark The Great One"" Levin and Candace ""The Great"" Owens together! This team is unbeatable! They just sent liberals into a frenzy again! A whole block of liberal voters just had their heads explode! And...sadly, Alyssa Milano just wet her pants again! Great team!""",TIN
@USER You are missing brains?,TIN
@USER 2A and putting an end to these Antifa fuckwits. Pardon the language,TIN
@USER I hate him im so fucking sorry,UNT
@USER Chuck is a “ DUCK !”,TIN
@USER @USER @USER Antifa JV squad?,UNT
@USER @USER @USER This is why Chicago  won’t enforce gun laws on the books or go into these neighborhoods These murders are planned by gun control liberals so as to pass very strict or even confiscation of guns. Black Luves do not matter to these liberals trying to pass their agenda. 2 Admendment,TIN
"@USER Just think. She is infinitely funnier than you. Obviously..D'uh huh."" 😮""",UNT
@USER @USER When tRUmp posts shit like this you know that he is distracting from something else that is going on. #Distractification,TIN
@USER @USER chloe shut the fuck up. seriously get a fucking life and leave us alone. idk how many time we have to fucking tell you. bc you clearly you don’t fucking get it.,TIN
@USER @USER He’s made a gun control shift as well. Check his talking points from last cycle.,TIN
@USER And the Liberals are saying Republicans are separating this country by color. Hypocrites.,TIN
@USER I was on some shit last night,UNT
@USER help! I already have a verify account but when I try to use it it wants further details (passport) which I don’t have with me. So I phone instead and after two minutes of pointless messages it tells me you are busy and hang up!!! What rubbish service.,TIN
@USER It is always same-trash Trump &amp; conservatives.  I have stopped watching American TV &amp; going to movies.  I have discovered wonderful foreign television shows albeit many subtitled that are now my favorites &amp; there is always good old-fashioned reading &amp; music &amp; creative endeavors.,TIN
@USER Bullshit! People died because of an incompetent Puerto Rican government officials. That’s already been exposed dumb ass but good try.,TIN
@USER @USER @USER @USER @USER So your in favor of gun control because that’s what Switzerland has? Am I correct in saying that?,TIN
@USER @USER Where were you in 2008 when people were losing their jobs &amp; their homes &amp; our economy tanked? What did you say about W then? Did you ridicule him &amp; did you praise Obama for saving our country? You are such a hypocrite.,TIN
@USER @USER Corrupt RHINO. Glad he stepped down,UNT
@USER Don’t care. Let them (NFL) die on the field kneeling,TIN
@USER @USER You are so correct the Democratic party for slavery and pro-nazi gun control,TIN
@USER @USER @USER Think they're trying to be funny or it's a dog whistle to prohibitionists. Either way it's a total fucking disgrace and belittles cannabis use. Wankers.,TIN
@USER the dopest most illest female artist ever! That's fucken queen right there hands down!!! Try to argue widdit😋😘,UNT
"@USER sadly, you blew it in this interview.  You are, or will be, bought.  You did not pass the litmus test"" for what a Real Progressive is....You have mistakenly alienated what's left of the Dem base, thanks to HRC,  and you need us, know it or not. URL",TIN
@USER He is starting to tweet nonsense like Mango Mussolini,TIN
@USER Incoming “evil soy” conspiracy nuts,UNT
@USER Leona Alleslve was the weakest link in the Liberals. She is the last thing we need during Canada’s NAFTA negotiations.  Its a good thing she is out of our military with her Traitor tendencies. Get out of Government too.,TIN
@USER @USER And you support the right using Antifa tactics in other words the tactics of a domestic terrorist group.,TIN
@USER @USER @USER Even Chris Evert said that people normally wise up and stop after the first warning or their second warning. Serena kept going. It sucks it ended the way it did but if you keep arguing and making comments after a second warning then what was she expecting?,TIN
@USER @USER @USER @USER @USER @USER @USER FUCK yes now i have someone to pressure me to get into every pit that opens up,TIN
@USER @USER Correction: Liberals deliberately distorting.,TIN
"@USER Hahahahahaha......Said the idiot @USER who handed over billions to the Iranians in what was likely the worst deal in the history of US foreign policy.... You are the poster child for someone not qualified to do a job""....""",TIN
@USER Lolol God he is such an a**hole.,TIN
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER How an #evangelist speaks when he is filled with holy spook URL,TIN
#meneither! She is a liar. Clear as day a liar. URL,TIN
@USER It’s exactly why I tweet!! Well that and making fun of liberals and their insanity!! 🙏🇺🇸❤️✝️❤️🇺🇸🙏 GOD help!!! 🙏❤️✝️✝️❤️🙏,TIN
@USER Oh that’s racist. Big Lips/Big Butt/Big Nose. That doesn’t even look like her. Also she is about 100 pounds to big. It also creates the image of the typical black woman with attitude.  IT’S SO RACIST. URL,TIN
"#GreatestThingsAboutThe90s NOTHING. The treacherous lefty media people made sure Benny Hill was taken off TV and even more treacherous conservatives"" conspired to remove Maggie Thatcher as our leader then almost fatally signed us even deeper into the extremely hostile commie EU""",TIN
@USER TEA. I WAS MAD WHEN I SAW THAT SHIT.,TIN
@USER @USER Who the hell do you think you are little Eddie,TIN
@USER It also goes to show that all those so called news people that laughed at you are now eating crow. How wonderful it is to watch the looney liberals squirm around like worms drowning in sunshine.,TIN
@USER Animal is the operative word !,UNT
@USER Master of None was so fucking good.,TIN
@USER @USER do you know what flanking and muscle flashing is with an AR15?; educate yourself and close that c•€k hol~+€r...you don't know why u r talking about😡😡😡😡,TIN
@USER @USER @USER @USER @USER This hand signal is used by ignorant people as a signal of white supremacy and by evil people who get a lot of satisfaction in the idea of pissing off liberals.  We should ignore both because displays of ignorance and hatefulness don’t deserve our time and attention.,UNT
@USER Bullshit. People died because of an incompetent government in Puerto Rico. And you can start with that mayor. Stop lying Gutierrez.,TIN
@USER you are absolutely right i am a Fool,TIN
@USER @USER @USER The scary super experienced knowledgeable members of Antifa @USER is no match for! #Sarcasm Serious question is why the left leaders manipulate the unintelligent inexperienced youth groups it’s form of taking advantage Abuse of the unwary weak  URL,TIN
LOL     Ted Cruz thinks #Texas voters are stupid.  Says Beto O'Rourke will ban barbeque from the state of Texas.  #resist   #MAGA    #Ridiculous   URL,TIN
"@USER @USER That isn't at all plausible. Tories and Labour have access to that building. More Tories have a problem with her than Labour and there are more Tories. It could have been a leftist"" but there are more Tory suspects. You are pretty abusive for someone arguing the left are abusive""",TIN
@USER @USER Look at her moving and not one word of Truth coming out of it. If you ever get a chance to ask that layer a question ask her do you agree with me that the Golan Heights belong to 🇸🇾. She is dead dead in the water she couldn't answer it without condemning herself true,TIN
@USER do you have any other recourse? This is so wrong on so many levels. Can you sue them? I wish there was a way to reinforce your points on the mistreatment you have received. Liberals are full of hate and discontent and unfortunately there are more of them than us. Idiots. URL,TIN
"@USER Does this line sound familiar it is too soon to talk gun control""? This the the typical NRA funded GOP response to NRA sponsored mass murder.""",TIN
@USER She is a courageous intelligent woman who knows the crap that people will say - she is standing up to some evil and powerful and ruthless men who will stop at nothing to destroy her and her testimony,UNT
@USER @USER @USER @USER @USER All Vince Cable has to show for getting into bed with the Tories is a ridiculous Knighthood.,TIN
@USER @USER @USER @USER is not a difficult woman she is a far left leaning bitch. She has no place in unbiased commentary on any platform. Get rid of her.,TIN
@USER @USER Which is also posturing nonsense. If they want to oust her they'd forward the requisite letters to their part whip and she would be facing a leadership challenge. Her 'challengers' are as gutless and witless as she is.,TIN
"@USER @USER Lol these are exciting times..."" God he is the worst""",TIN
@USER And I you ya sexy lady you ♡,TIN
@USER whoaaa that's amazing i wanna see her now 😝   also you are a kinky lil slut but ily,TIN
@USER Hope the tiny anti American fraction of the USA can support those nfl contracts.,TIN
@USER @USER Be safe you fucker,TIN
@USER @USER Apparantly that rule of law doesn't apply to Republicans/Conservatives baselessly accused by Dems,TIN
@USER @USER @USER Kwasia does ur Shatta Wale even have a career to start with . Idiot..his reign album hype seff Dey zero . As if he is not about to release an album 😂😂😂🤦🏼‍♂️🤦🏼‍♂️ hype no yh vim zero,TIN
@USER At least brennan is smart enough to recognize that Trump is a lion. He's not smart enough to know that he can't hurt Trump. Hurting Trump is what that idiot fantasies about.,TIN
65 women defend Kavanaugh as 'a good person' amid allegations - IGNORE Dianne FEInstein. She is obsolete! You disgusting idiot piece of sh%@ Feinstein. He will rule supreme!,TIN
@USER @USER @USER . #Hypocrisy to see so called conservatives call out supposed sexual deviancy when just about every sexual political scandal in recent memory involves Republicans and it's really #homophobia #RoyMoore #Kavanaugh #JimJordan #MarkFoley #BobPackwood #ClarenceThomas #DonaldTrump,TIN
@USER @USER @USER URL  The left party relativizing and playing down communist crimes,TIN
@USER If only Martin were as obsessed about Christ as he is with homosexuality.,TIN
@USER @USER @USER Look Ellen.... I am not a socialist commie... you are the one for government Universal Health Care bigger government gun control and free colleges. I am American I'm for capitalism,TIN
@USER Let's not kid ourselves...you are a prostitute...for the @USER,TIN
"@USER @USER @USER Nice. That is so true. No life trump haters. Funny thing is trump done everything good for Americans and America yet these anti Americans put trump down! Amazing that people act like Trumps the bad guy! EVIL is the liberal  democrats &amp; the band of haters.. Antifa"" ""blue wave""""",TIN
@USER Gotta keep that gun control law to get those terrorists,TIN
@USER @USER He’s a bitter Barn Inbred. URL,TIN
@USER idc if you suck i just wanna have fuuun,TIN
@USER He has no social graces. That is why he was shunned by NY proper everyone knows he's white trash with a little money.   He does not know how to act and makes everything about him. Always. He is just a Me ME Me  POS that is an embarrassment to the USA.,TIN
@USER @USER Got knocked out in the first round and one a shitty decision,TIN
@USER @USER She is a piece of shit and I am not sorry for my bluntness. From now on I am going to say what I think whether bluntly or rudely!,TIN
@USER @USER An accusation is not enough. We are fortunate to live in a country where you are innocent UNTIL proven guilty.,TIN
@USER can you pls get rid of holly he is so uneducated of sports. Wheb you have sportscasters who have been throgh the sport and are professional in their presentation he looks like a joke,UNT
@USER but if you go on a date first..and then have sex...it’s the best of both worlds. and the sex is better.,UNT
@USER @USER is gross,TIN
@USER Fallon is a woosy,TIN
@USER Yeah . Niggas who dey wear durag nor dey joke. Hard as fuck,TIN
@USER Because he didn’t do any think Sorry that not true you and Obama screw the American people when ever you could!,TIN
@USER I do not know who these POS Nazi Liberals are &amp; don't care to know.   Everyone of the Hollywood elite can &amp; prob will go to he!!.,TIN
@USER @USER Conservatives would do anything to eliminate the value of laborers in this country. People worked and died for this holiday. Don't want to see it lost to some fake Constitution worshiping by people who do not value the Constitution in any way such as the Far Right.,TIN
@USER @USER Should have used a 44 magnum to make a real statement! And people like this teach our kids?,TIN
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You didn’t read the whole thing most white mass shooters aren’t even considered terrorism because there’s no “political” agenda to their murder like Dylan roof,TIN
@USER Andrea Mitchell. Another political hack embedded in the news media. Listen to the tone of that interview.  She is looking for a gotcha moment instead of commending the guy for the work that he is doing. At every turn he shoots her down and it kills her.,TIN
@USER @USER Agreed! It’s not gun control they want - it’s people control. Without guns we are helpless and they know it! Our founders knew this too  - #2A,TIN
@USER @USER He is seething!! You can see it in his eyes and hear it in his voice!! Obama was a failed president in every sense of the word! #MAGA #KAG 🚂🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,TIN
@USER Get the hell out,UNT
@USER swear niggas make me wanna turn this phone off,TIN
@USER Notice how angry the #MAGA bots are after losing out on a vote this Thursday. Hey #MAGA bots. Would you like some cheese with your whine. LOL,TIN
@USER @USER Pm is looking like the extra in the Tory version of SAW 2018 who suddenly realised that she must cut off her own limbs to survive.If she escapes that particular nightmare she is still a politically deceased PM. It's impossible to appease MUKGA Tories that don't want a compromise URL,TIN
@USER That’s messed up. #WalkAway Congresswoman M. Waters has ZERO control of her demon within. That’s what happens when she &amp; other stupid a_ _ greedy folks willfully submit their souls to the Devil. Satan was defeated again in 2016. @USER #AmericaFirst #MAGA @USER,TIN
@USER Cause you sweet lil nigga,TIN
@USER Bono is utterly stupid ridiculous wealthy tax avoiding hypocrite fascist  I can’t listen to U2 again,TIN
@USER @USER Or he is part of the fraud they pulled together.,TIN
@USER He is a DUMBASS !!!!!,TIN
@USER What do u expect from vile violent lying disgusting liberals,TIN
@USER @USER She is such a disgusting hypocrite!,TIN
@USER Congratulaions. . . who were terrific. . . dont let some fucked up umpire ruin things for you. . . he'd be happy he did.,TIN
@USER Oh my god. They’re so fucking cute.,UNT
@USER @USER Conservatives only care about democracy when it's their opinions and so called racist rights are in jeopardy. Anyone else they don't give a shit about. It's sad.,TIN
@USER @USER @USER @USER She is a wannabe Hilary Clinton.. Can’t stand that woman and anything that the NDP stands for. I believe that they are even more dangerous than the liberals!,TIN
@USER All that shit was hers URL,TIN
@USER @USER @USER Trump call them very find people so lets talk about groups like Antifa and black life matter people that has form to fight hate groups y’all would like to apply some type of moral equivalency to hate groups and them just like ICE was form to stop illegal immigrants we luv them,TIN
@USER @USER This is the ONLY acceptable way to end sex,UNT
@USER This nigga is everywhere 😂 😂..I can't escape his spews..it's now time,TIN
@USER @USER LOVE HER!! She is a BADASS!,TIN
@USER @USER They gone eat his high yellow ass 🤣,TIN
@USER Omg that’s fucking crazy.,TIN
@USER I know what that storm is gonna do...but those photos are just the shit bro.,UNT
@USER As if a liberal beta male could engage in sex with a straight female.,TIN
@USER Goodell and my Lions both suck,UNT
@USER They should. Hopefully voters will realise that they could have ended this shitshow well before the midterms.,TIN
@USER You don’t get it it all. Women don’t like to come forward because of men like you. When they finally do come forward men LIKE YOU either slut shame them or call them liars. Men LIKE YOU are shy a lot of victims remain silent.,TIN
@USER What are you doing Joe? I swear it seems like he is doing this shit intentionally to show us fans up or put us in the hospital for heart attacks. #EverybodyIn @USER,TIN
@USER Moore just got Don elected again. Liberals never learn. He’s more unlikable than Trump,TIN
@USER @USER @USER I'm sure she's worried. Give me a break. Dana is doing a job. You know where u make a living and pay for your own Healthcare etc. You dirt bags that don't even shower crying about gun control should try it.,TIN
@USER @USER He's been trashing all along even to our allies.,TIN
@USER Star tv,UNT
@USER I've seen these big chairs but the look on your face and the pose makes me laugh. Somehow I believe that was all purposely orcastrated by you Boots! You are so silly,TIN
5.10am Still a crowd at Queens Park protesting the conservatives middle of the night power grab. Shame on the conservatives! What kind of party creates chaos during an election? Rather than working with their citizens to create a healthy economy? @USER #ONpoli,TIN
/63 More evidence Liberals only goal is to sabotage #NAFTA to make Trump the enemy and to get Trump Hate vote in Canada for election 2019.   URL,TIN
.@USER HOSTILE ENVIRONMENT against the POOREST and most VULNERABLE in our society just keeps on rolling. So much for #ChristianMorals eh? If you voted for this SHIT then HANG YOUR HEAD IN SHAME. @USER #JC4PMNow #POVERTY #DisabilityRights URL,TIN
@USER @USER @USER @USER You are a Liberal who doesn't even live in FL.,TIN
@USER @USER @USER @USER You should know better to use common sense with hypocritical liberals.  #KeithEllisonAbuse,TIN
A videographer who reported on the violence of Antifa was found dead due to a tragic car accident. Police now believe his death was no accident at all.  Welcome to the tolerant left.  URL,TIN
@USER @USER Yep. Sure do. And he's been proving it on a daily basis. #MAGA,TIN
*Finally at my sister's apartaments* Instant reminder that she is ungrateful brat and i'm much more happy without seeing her,TIN
@USER Congratulations @USER   for putting the NFL into the toilet.,TIN
@USER HE IS MOE,UNT
"@USER @USER @USER @USER @USER @USER @USER This women is a vile example of the far left lunacy. She is using the Alinsky, Rules for Radicals Handbook."" No matter what u have to do, (lie,steal,use violence etc. )u must destroy the conservatives. They lack character &amp; have no moral code.""",TIN
@USER What a joke.  Another dirty tricks Democrat on the George Soros payroll.  The Democrat Party knows no shame.  #MAGA,TIN
UPDATE Chuck Schumer’s Steamy Affair With A High School Cheerleader Conf... URL via @USER Well someone said it so it must be true! ChickSchumer should Resign #Kavenaugh #ThursdayThoughts #FridayFeeling #DemDirtyTrick #MAGA #Resist FBI should Investigate,TIN
@USER Jose Ramirez because he is doing it all stealing hitting for average hitting Homer's doubles and playing good defense and definitely Blake Snell for Cy Young just look at his numbers hes like the Jacob DeGrom of the AL,UNT
@USER Yet she is fat herself.,TIN
@USER @USER @USER @USER @USER @USER I had no idea all republicans were nazi racists till Trump got elected. Imagine my surprise. i'm native american so I took it hard finding out I was a racist. Was despondent went around punching out Antifa to work through my depression.,TIN
@USER Fuck off,TIN
@USER lets stretch bitches,TIN
@USER This is not possible. California has implemented strict gun control. Only law enforcement and those fortunate enough to get a permit can carry in public. “Assault weapons” are banned.,UNT
@USER I`m with you JR.She is nothing.Don`t waste your time on human waste!,TIN
@USER I think other countries are following MAGA 😀 People are sick of being overrun &amp; then have to pay for it all!,UNT
@USER @USER Many arrests have taken place. Socialist media not covering of course. The coming arrests will  make socialists heads explode. WWG1WGA! MAGA! DRAIN THE SWAMP! BUILD THE WALL!,TIN
@USER and if you're in ANTIFA you are one of them shit for brains. Here worship your queen she needs her toe cheese licked out. URL,TIN
@USER @USER the nose distracts from the news,TIN
@USER Nigga we’re going next week,TIN
